sex,age,famsize,Pstatus,Medu,Fedu,studytime,activities,freetime,health,absences,Walc
F,18,GT3,A,4,4,2,no,3,3,6,1
F,17,GT3,T,1,1,2,no,3,3,4,2
F,15,GT3,T,4,2,3,yes,2,5,2,1
M,16,LE3,T,2,2,2,no,4,3,0,3
F,17,GT3,A,4,4,2,no,1,1,6,1
M,15,GT3,A,2,2,3,no,5,3,0,5
M,15,GT3,T,4,2,1,no,2,1,4,1
M,16,GT3,T,4,4,2,yes,4,5,16,4
F,15,GT3,T,3,4,3,yes,3,5,2,1
M,15,GT3,T,4,4,2,yes,3,5,2,1
M,15,GT3,T,2,2,1,no,4,1,0,1
F,15,LE3,T,4,2,2,no,3,5,2,3
M,15,LE3,A,4,2,1,no,5,5,6,5
F,16,GT3,A,2,1,2,yes,3,2,8,1
M,15,GT3,T,4,0,4,yes,4,1,8,1
F,16,GT3,T,3,4,2,no,4,3,12,1
M,15,GT3,T,2,3,3,no,3,5,4,1
F,15,LE3,T,3,2,2,no,4,5,10,3
F,15,GT3,T,4,4,2,no,4,5,6,1
M,16,LE3,A,4,4,2,no,1,5,18,4
F,16,GT3,T,2,1,2,no,3,5,2,2
F,16,GT3,T,4,3,3,no,3,3,0,1
F,15,GT3,A,3,3,4,no,3,4,10,1
M,15,LE3,A,4,4,1,yes,5,4,6,5
M,15,LE3,T,4,2,1,no,5,3,10,5
F,15,LE3,A,3,4,2,yes,3,1,0,1
M,18,GT3,T,2,2,1,yes,3,4,0,1
M,16,GT3,T,4,4,1,yes,5,4,8,1
F,15,GT3,T,1,1,1,yes,3,4,0,1
F,15,GT3,T,4,4,3,yes,3,5,0,1
F,15,GT3,T,4,4,1,yes,3,5,0,1
F,16,LE3,T,1,1,1,no,4,1,2,3
M,16,LE3,T,2,1,1,yes,4,5,6,3
M,15,GT3,T,2,3,2,yes,4,1,2,1
M,16,GT3,T,3,3,2,no,5,5,4,1
M,17,LE3,T,2,1,1,yes,3,5,0,3
M,15,GT3,T,3,2,2,no,4,3,6,1
F,16,GT3,T,2,2,2,no,1,4,0,2
F,16,GT3,T,1,3,2,yes,3,3,0,1
M,16,GT3,T,4,2,1,yes,3,3,10,1
M,16,GT3,T,4,3,2,yes,4,3,10,1
F,17,LE3,T,3,3,2,yes,3,1,56,4
F,16,GT3,T,3,2,2,no,2,1,14,1
M,17,GT3,T,3,3,2,yes,3,4,12,1
M,16,GT3,T,1,2,1,yes,3,3,2,1
M,16,LE3,T,2,1,2,yes,2,5,0,3
M,17,GT3,T,1,2,2,no,1,3,4,2
F,16,GT3,T,2,3,2,no,3,2,10,2
F,17,GT3,T,1,1,2,yes,3,3,0,3
M,17,GT3,T,1,2,2,yes,4,5,12,4
M,16,GT3,T,3,3,1,yes,3,5,8,1
M,17,GT3,T,4,4,1,no,2,5,4,2
F,16,LE3,T,4,4,2,no,5,3,0,1
F,16,GT3,T,4,3,2,yes,3,2,2,1
F,16,GT3,T,2,3,2,yes,4,4,6,1
F,17,GT3,T,4,3,2,no,4,1,22,4
F,17,GT3,T,2,3,1,no,3,3,3,2
F,17,GT3,T,2,2,3,yes,3,4,4,1
F,17,GT3,T,2,1,2,yes,2,5,2,1
M,18,LE3,T,2,1,2,yes,3,3,14,3
F,17,LE3,T,4,3,2,yes,2,3,14,3
M,16,LE3,T,1,1,2,no,4,5,18,4
F,17,GT3,T,2,1,2,yes,1,3,2,1
M,16,LE3,T,4,3,1,yes,4,3,0,4
M,16,GT3,T,4,4,1,yes,3,5,0,1
F,18,GT3,T,2,1,3,no,4,3,0,2
M,18,LE3,T,3,3,2,no,3,5,8,3
M,17,LE3,T,1,1,1,yes,4,5,2,5
F,17,GT3,T,3,3,3,yes,2,4,4,1
F,18,LE3,T,1,1,2,no,4,3,2,3
F,18,GT3,A,3,2,2,no,1,5,75,4
M,18,LE3,T,4,3,1,yes,2,1,8,3
M,17,LE3,A,3,2,1,no,4,3,19,4
F,18,LE3,T,1,1,4,yes,2,3,1,1
F,17,GT3,T,4,3,3,no,2,3,0,2
F,17,LE3,T,3,1,4,no,1,3,6,2
F,18,GT3,T,4,3,4,no,3,3,0,2
F,19,LE3,T,1,2,2,yes,2,3,0,3
M,19,GT3,T,1,2,2,no,5,4,3,5
F,19,LE3,T,3,2,2,no,2,1,22,4
F,18,GT3,T,4,3,3,yes,3,5,9,1
F,17,LE3,T,0,2,3,no,3,2,0,3
M,17,GT3,T,3,3,1,yes,3,5,3,1
F,18,GT3,T,3,3,2,yes,3,4,0,1
F,18,LE3,T,2,2,2,yes,3,2,0,3
F,17,GT3,T,3,4,3,no,4,5,16,1
F,18,GT3,T,3,2,3,no,4,1,7,1
M,18,GT3,T,4,3,3,no,3,4,9,2
M,19,GT3,T,1,1,2,no,4,2,8,5
M,17,GT3,T,3,3,2,no,5,3,2,1
F,17,LE3,A,3,2,2,no,2,5,2,4
F,18,GT3,T,3,3,2,no,3,3,0,2
F,18,GT3,T,2,3,1,no,2,4,0,2
F,19,LE3,T,3,2,2,yes,2,3,4,3
F,18,LE3,T,4,4,3,no,4,1,0,2
M,19,GT3,T,1,1,1,no,3,5,0,5
M,17,LE3,T,3,1,1,no,4,2,3,5
M,21,GT3,T,1,1,1,no,5,3,3,5
M,19,LE3,T,1,1,1,no,2,5,5,5
