Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
2,4.9,3.0,1.4,0.2,
8,5.0,3.4,1.5,0.2,
15,5.8,4.0,1.2,0.2,
17,5.4,3.9,1.3,0.4,
21,5.4,3.4,1.7,0.2,
24,5.1,3.3,1.7,0.5,
27,5.0,3.4,1.6,0.4,
32,5.4,3.4,1.5,0.4,
33,5.2,4.1,1.5,0.1,
36,5.0,3.2,1.2,0.2,
43,4.4,3.2,1.3,0.2,
46,4.8,3.0,1.4,0.3,
52,6.4,3.2,4.5,1.5,
55,6.5,2.8,4.6,1.5,
57,6.3,3.3,4.7,1.6,
60,5.2,2.7,3.9,1.4,
62,5.9,3.0,4.2,1.5,
69,6.2,2.2,4.5,1.5,
71,5.9,3.2,4.8,1.8,
77,6.8,2.8,4.8,1.4,
78,6.7,3.0,5.0,1.7,
80,5.7,2.6,3.5,1.0,
86,6.0,3.4,4.5,1.6,
90,5.5,2.5,4.0,1.3,
106,7.6,3.0,6.6,2.1,
107,4.9,2.5,4.5,1.7,
116,6.4,3.2,5.3,2.3,
117,6.5,3.0,5.5,1.8,
118,7.7,3.8,6.7,2.2,
121,6.9,3.2,5.7,2.3,
130,7.2,3.0,5.8,1.6,
131,7.4,2.8,6.1,1.9,
135,6.1,2.6,5.6,1.4,
139,6.0,3.0,4.8,1.8,
140,6.9,3.1,5.4,2.1,
143,5.8,2.7,5.1,1.9,
146,6.7,3.0,5.2,2.3,
148,6.5,3.0,5.2,2.0,
